2148,1
1124,2
170,2
3158,1
2229,1
1960,1
411,2
457,2
2881,1
602,2
2339,1
2490,1
2315,1
2985,2
2906,1
2421,1
2260,1
2877,1
2550,1
621,2
2209,2
2211,1
978,2
2937,1
1011,2
2089,1
1006,2
194,2
1018,2
178,2
102,2
2978,1
1831,1
594,2
840,2
1735,1
1502,2
581,2
214,2
471,2
2723,1
17,2
937,2
2673,1
2375,1
414,2
211,2
1902,1
254,2
289,2
2334,1
794,2
1925,1
2185,1
3014,1
1462,2
3153,1
1465,2
1117,2
2958,1
291,2
2815,1
432,2
2422,1
257,2
2614,1
2279,1
1034,2
2903,1
1103,2
2549,1
2918,1
2851,1
682,2
322,2
2167,1
486,2
812,2
1801,1
3103,1
2013,1
332,2
829,2
528,2
44,2
139,2
1847,1
932,2
3052,1
433,2
532,1
1825,1
2321,1
309,2
2580,1
1010,2
601,2
1307,2
1765,1
3023,1
3061,1
2924,2
2221,1
256,1
1437,2
1731,1
1235,2
134,2
2946,1
1745,1
1951,1
2665,1
299,2
3020,1
2543,1
1610,1
1497,2
3034,1
1195,2
1506,2
1073,2
1980,1
218,2
203,2
798,2
1023,2
1317,2
2084,1
52,2
1105,2
51,2
734,2
63,2
251,2
1509,2
1334,2
1732,1
2285,1
1543,2
2157,1
1432,2
2298,1
554,2
70,2
670,2
2025,1
1973,1
2628,1
2392,1
1108,2
2709,1
2925,1
1456,2
1752,1
423,2
1295,2
1771,1
2058,1
2890,1
1037,2
900,2
1298,2
2236,1
1206,2
700,2
354,2
1220,2
1859,1
3132,1
2588,1
76,2
1407,2
1868,1
1188,2
144,2
1022,2
45,2
2102,1
2514,1
2018,1
2195,1
1100,2
192,2
152,2
2004,1
1776,1
1904,1
2661,1
0,2
693,2
408,2
611,2
298,2
2739,1
463,2
321,2
1814,1
1094,2
2586,1
32,2
1642,1
2564,1
14,2
93,2
2600,1
2271,1
2045,1
368,2
149,2
314,2
1127,2
612,2
184,2
2053,1
772,2
642,1
240,2
3122,1
2310,1
1987,1
2592,1
442,2
2706,1
2447,1
2051,1
605,2
1017,2
270,2
2223,1
610,2
1556,2
507,2
776,2
2782,1
2899,1
927,2
331,2
1910,1
239,2
2825,1
174,2
2894,1
2262,1
120,2
1251,2
1983,1
1192,2
2499,1
1533,2
229,2
930,2
2519,1
2768,1
654,2
188,2
1641,1
1948,1
1627,1
387,2
2953,1
1558,2
2096,1
246,2
346,2
1697,1
3059,1
879,2
544,2
2741,1
2501,1
2860,1
2787,1
1967,1
1270,2
2106,1
578,2
2263,1
2258,1
1883,1
881,2
1272,2
1537,2
2419,1
175,2
2909,1
887,2
1426,2
1422,2
1628,1
1754,1
1370,2
1313,2
2854,1
1356,2
1398,2
2376,1
3001,2
2358,1
2469,1
1954,1
1444,2
2885,1
2510,1
1123,2
727,2
478,2
2240,1
266,2
1710,1
196,2
2174,1
88,2
3085,1
1632,1
2893,1
1106,2
1488,2
